customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases
36,39,Male,T-Shirt,Fashion,20,Seattle,XL,Green,Spring,4.9,No,Same-Day,No,No,16,Cash,Daily
37,35,Female,Backpack,Fashion,79,Phoenix,S,White,Autumn,2.7,Yes,Express,Yes,Yes,2,PayPal,Weekly
38,29,Other,Jeans,Electronics,499,Chicago,M,Green,Spring,2.8,Yes,Same-Day,No,Yes,0,UPI,Monthly
39,27,Other,Shoes,Electronics,142,New York,XXL,Blue,Spring,2.7,No,Same-Day,No,No,11,Credit Card,Weekly
40,20,Other,Shoes,Fashion,294,Phoenix,L,Green,Winter,2.8,No,Standard,Yes,No,3,Credit Card,Monthly
41,68,Male,T-Shirt,Footwear,499,Miami,XL,Blue,Autumn,3.1,Yes,Same-Day,Yes,Yes,16,UPI,Daily
42,53,Female,Sunglasses,Electronics,97,Los Angeles,L,White,Autumn,1.6,Yes,Same-Day,No,Yes,13,Cash,Daily
43,17,Female,Jacket,Fashion,181,Houston,L,Green,Spring,4.7,No,Standard,No,No,15,UPI,Weekly
44,46,Other,Shoes,Fashion,209,Seattle,L,White,Summer,4.1,Yes,Standard,Yes,No,5,PayPal,Daily
45,29,Other,Sunglasses,Electronics,286,New York,XXL,Yellow,Winter,4.2,Yes,Express,No,No,13,Cash,Daily
46,25,Male,Shoes,Footwear,276,Chicago,L,White,Spring,3.7,No,Express,No,Yes,6,Debit Card,Daily
47,35,Male,Jeans,Footwear,125,Miami,XXL,Black,Spring,3.0,No,Standard,Yes,No,3,Cash,Daily
48,18,Female,Shoes,Electronics,339,Houston,XL,White,Summer,4.4,Yes,Standard,No,Yes,13,Debit Card,Weekly
49,31,Female,Backpack,Footwear,347,Los Angeles,S,Red,Spring,3.6,Yes,Standard,Yes,Yes,10,Credit Card,Monthly
50,26,Female,Shoes,Footwear,345,Chicago,XL,Green,Autumn,3.2,Yes,Standard,Yes,Yes,7,PayPal,Monthly
51,32,Other,Watch,Accessories,190,Phoenix,M,White,Winter,3.5,Yes,Same-Day,Yes,Yes,11,Debit Card,Weekly
52,28,Male,Sunglasses,Accessories,452,New York,XXL,Red,Autumn,3.8,No,Standard,No,No,8,Credit Card,Daily
53,26,Female,Shoes,Accessories,423,Los Angeles,S,Yellow,Summer,1.2,Yes,Standard,Yes,No,2,Debit Card,Weekly
54,32,Other,Watch,Footwear,188,Los Angeles,L,White,Summer,4.9,No,Standard,Yes,No,6,Cash,Weekly
55,36,Female,Backpack,Accessories,108,Chicago,XL,Black,Summer,4.0,No,Standard,Yes,No,6,PayPal,Daily
56,48,Other,T-Shirt,Electronics,118,Phoenix,L,Black,Winter,3.0,Yes,Same-Day,No,No,6,Cash,Weekly
57,29,Female,Backpack,Footwear,297,Los Angeles,XXL,Red,Winter,2.0,Yes,Standard,No,Yes,1,Debit Card,Monthly
58,65,Female,Jacket,Accessories,10,Phoenix,XL,Red,Spring,3.6,No,Standard,Yes,No,11,Credit Card,Daily
59,43,Male,T-Shirt,Footwear,440,Houston,XL,Yellow,Spring,1.2,No,Standard,No,No,18,Credit Card,Daily
60,32,Male,Jeans,Footwear,434,Miami,M,Red,Spring,3.1,No,Same-Day,Yes,Yes,4,Credit Card,Monthly
61,65,Female,T-Shirt,Footwear,492,Seattle,M,Yellow,Autumn,4.5,No,Same-Day,No,No,5,Credit Card,Weekly
62,23,Female,Backpack,Electronics,48,Houston,S,Blue,Winter,2.8,No,Standard,No,No,11,Credit Card,Weekly
63,49,Other,Shoes,Electronics,117,Miami,XL,Green,Winter,3.9,No,Express,Yes,Yes,11,Credit Card,Daily
64,21,Other,Jacket,Accessories,51,Miami,M,White,Summer,2.8,No,Standard,Yes,No,3,Cash,Daily
65,41,Other,Jacket,Electronics,419,New York,XL,Blue,Autumn,1.0,No,Same-Day,No,No,1,PayPal,Daily
66,38,Other,Jeans,Accessories,456,Chicago,L,Yellow,Winter,1.3,No,Standard,Yes,Yes,0,UPI,Weekly
67,23,Female,T-Shirt,Accessories,198,Houston,XL,Green,Autumn,1.4,No,Express,No,Yes,13,UPI,Weekly
68,50,Other,Backpack,Fashion,395,Phoenix,M,Black,Winter,1.1,Yes,Standard,Yes,Yes,0,PayPal,Weekly
69,50,Male,Watch,Fashion,238,Chicago,L,White,Summer,2.8,No,Express,No,No,3,Cash,Weekly
70,42,Other,Backpack,Accessories,27,Seattle,M,Green,Autumn,1.8,No,Same-Day,Yes,No,15,Debit Card,Monthly
71,66,Female,Shoes,Electronics,177,Chicago,L,Blue,Summer,4.1,Yes,Standard,No,No,11,Debit Card,Monthly
72,65,Other,Watch,Footwear,310,Los Angeles,M,White,Spring,4.7,No,Express,No,No,6,PayPal,Weekly
73,51,Male,Watch,Electronics,196,Phoenix,L,Green,Autumn,2.7,No,Express,Yes,Yes,2,Debit Card,Daily
74,67,Female,T-Shirt,Accessories,321,Chicago,L,Black,Summer,1.1,No,Express,Yes,Yes,14,Debit Card,Monthly
75,61,Female,Jeans,Accessories,214,Seattle,S,Red,Spring,2.3,No,Standard,Yes,No,2,PayPal,Daily
76,42,Other,Watch,Electronics,262,Phoenix,L,Red,Spring,1.8,Yes,Express,No,Yes,2,PayPal,Weekly
77,58,Other,Jacket,Footwear,45,Houston,M,Red,Summer,4.4,Yes,Express,Yes,Yes,4,Debit Card,Weekly
78,68,Female,Jacket,Fashion,151,Los Angeles,XXL,White,Autumn,3.7,No,Standard,No,Yes,17,Debit Card,Daily
79,60,Other,T-Shirt,Electronics,108,Los Angeles,XL,Blue,Summer,4.3,Yes,Standard,Yes,Yes,15,Credit Card,Daily
80,55,Male,Sunglasses,Footwear,261,Houston,M,White,Spring,1.8,Yes,Same-Day,Yes,No,9,Debit Card,Weekly
81,32,Other,Watch,Accessories,495,Los Angeles,XXL,Red,Winter,1.7,Yes,Same-Day,No,No,1,PayPal,Monthly
82,45,Male,T-Shirt,Accessories,142,Chicago,XL,Green,Winter,3.5,No,Express,Yes,Yes,0,Cash,Daily
83,25,Female,Jeans,Accessories,398,Seattle,M,Green,Winter,3.7,Yes,Same-Day,No,Yes,13,Credit Card,Daily
84,35,Male,Sunglasses,Fashion,43,Seattle,L,Black,Autumn,3.7,Yes,Same-Day,No,Yes,15,Credit Card,Daily
85,20,Male,Watch,Accessories,76,Chicago,S,Black,Spring,3.5,No,Express,No,No,4,PayPal,Weekly
86,34,Female,Jeans,Electronics,401,Phoenix,S,Green,Summer,2.7,No,Express,Yes,No,13,Credit Card,Monthly
87,38,Female,Shoes,Accessories,64,Seattle,M,Red,Summer,3.8,Yes,Same-Day,No,No,7,Debit Card,Monthly
88,69,Female,Jeans,Accessories,116,Los Angeles,M,Black,Autumn,4.7,No,Same-Day,No,No,6,Debit Card,Daily
89,56,Other,Jeans,Accessories,274,Phoenix,S,Green,Winter,3.1,Yes,Same-Day,No,No,7,Credit Card,Weekly
90,54,Female,Shoes,Footwear,21,Houston,M,Yellow,Winter,4.2,Yes,Express,Yes,Yes,5,PayPal,Daily
91,69,Other,Watch,Electronics,284,Los Angeles,XL,Red,Autumn,3.5,No,Same-Day,No,No,7,Credit Card,Weekly
92,16,Female,T-Shirt,Electronics,472,Houston,XXL,Black,Spring,4.8,Yes,Standard,No,Yes,19,Debit Card,Weekly
93,22,Male,Shoes,Accessories,360,New York,M,Red,Winter,2.3,Yes,Express,Yes,Yes,7,UPI,Daily
94,62,Other,Jeans,Electronics,98,Chicago,M,Green,Spring,4.3,Yes,Same-Day,No,Yes,16,Debit Card,Weekly
95,60,Female,Jeans,Fashion,351,Phoenix,XXL,Green,Spring,4.1,Yes,Express,Yes,No,17,PayPal,Daily
96,46,Female,Watch,Accessories,68,Chicago,XXL,Red,Spring,1.2,Yes,Express,No,Yes,0,Credit Card,Monthly
97,69,Female,Sunglasses,Footwear,455,Phoenix,M,Green,Winter,4.3,No,Same-Day,No,Yes,8,PayPal,Daily
98,45,Male,T-Shirt,Accessories,75,Miami,XL,Yellow,Autumn,1.9,Yes,Standard,No,Yes,7,UPI,Weekly
99,66,Other,T-Shirt,Footwear,290,Seattle,S,Yellow,Winter,4.8,Yes,Express,No,No,6,UPI,Weekly
100,27,Male,Watch,Accessories,220,Los Angeles,M,Yellow,Winter,4.4,Yes,Same-Day,No,Yes,7,Cash,Weekly
101,66,Female,Jacket,Electronics,36,New York,XXL,Black,Autumn,4.9,Yes,Standard,Yes,Yes,12,Credit Card,Daily
102,28,Female,Watch,Footwear,477,Houston,XXL,Red,Summer,2.3,No,Standard,No,No,5,Debit Card,Monthly
103,23,Other,Jacket,Accessories,149,Seattle,S,Red,Autumn,1.6,No,Express,No,No,10,Credit Card,Weekly
104,68,Female,T-Shirt,Accessories,264,Seattle,XXL,Green,Winter,1.6,No,Same-Day,No,No,10,Debit Card,Monthly
105,37,Male,Backpack,Footwear,221,Houston,L,Yellow,Summer,3.8,Yes,Standard,Yes,No,16,Debit Card,Weekly
106,54,Male,Shoes,Fashion,291,Phoenix,XXL,Blue,Autumn,2.7,Yes,Express,No,Yes,10,Cash,Weekly
107,29,Female,T-Shirt,Fashion,46,Chicago,XXL,Green,Autumn,1.6,Yes,Standard,No,No,10,Debit Card,Monthly
108,53,Female,Shoes,Fashion,77,Houston,L,White,Spring,2.7,Yes,Same-Day,No,Yes,6,Debit Card,Monthly
109,20,Male,Jacket,Fashion,104,Chicago,S,Black,Winter,3.5,Yes,Same-Day,No,Yes,18,Debit Card,Monthly
110,51,Female,Backpack,Electronics,343,Houston,L,Red,Autumn,1.8,No,Same-Day,Yes,Yes,5,Cash,Daily
111,19,Other,Watch,Footwear,47,Miami,XXL,Red,Autumn,2.9,Yes,Standard,No,No,16,Debit Card,Daily
112,32,Male,Sunglasses,Fashion,168,New York,XXL,Red,Autumn,3.8,No,Standard,No,Yes,1,PayPal,Daily
113,29,Male,Sunglasses,Accessories,87,New York,S,White,Autumn,1.8,No,Express,No,Yes,7,Debit Card,Monthly
114,53,Male,Jacket,Accessories,177,Miami,XXL,Yellow,Summer,3.5,No,Express,Yes,No,18,Debit Card,Weekly
115,28,Female,Shoes,Electronics,459,Seattle,XL,Red,Winter,2.0,Yes,Express,Yes,No,11,Debit Card,Daily
116,62,Female,Backpack,Fashion,56,Houston,XXL,Green,Autumn,1.4,Yes,Same-Day,No,No,11,PayPal,Monthly
117,37,Other,T-Shirt,Footwear,54,Miami,XL,Red,Winter,4.9,Yes,Express,Yes,No,19,Debit Card,Daily
118,18,Female,T-Shirt,Electronics,252,New York,XXL,Blue,Summer,2.9,Yes,Same-Day,Yes,No,6,Debit Card,Weekly
119,19,Female,T-Shirt,Electronics,248,Seattle,M,Yellow,Winter,1.8,No,Same-Day,Yes,No,12,Debit Card,Daily
120,63,Female,T-Shirt,Footwear,246,Houston,XL,White,Winter,4.7,Yes,Same-Day,Yes,No,14,Credit Card,Daily
121,47,Male,Jacket,Electronics,451,Phoenix,S,Black,Autumn,3.3,Yes,Same-Day,No,No,17,UPI,Monthly
122,41,Other,Shoes,Fashion,474,Phoenix,XL,White,Autumn,4.0,No,Express,Yes,Yes,3,PayPal,Weekly
123,21,Other,Watch,Electronics,438,Phoenix,L,Red,Summer,2.5,No,Express,No,No,9,Cash,Monthly
124,27,Male,Backpack,Fashion,390,Chicago,XL,Red,Spring,3.6,Yes,Same-Day,Yes,No,11,Credit Card,Daily
125,66,Male,Shoes,Accessories,361,Seattle,S,Red,Summer,4.3,No,Same-Day,Yes,No,15,UPI,Daily
126,46,Female,Jacket,Electronics,110,Chicago,M,White,Spring,2.0,Yes,Same-Day,No,Yes,9,Credit Card,Daily
127,54,Male,T-Shirt,Electronics,440,Chicago,M,Yellow,Spring,1.9,No,Same-Day,Yes,No,19,Debit Card,Daily
128,61,Other,T-Shirt,Footwear,191,Phoenix,L,Red,Winter,4.7,No,Standard,Yes,Yes,10,PayPal,Daily
129,49,Male,Backpack,Fashion,48,Houston,M,Green,Summer,4.2,No,Standard,No,No,1,Cash,Daily
130,45,Male,Jacket,Footwear,19,Miami,L,Red,Autumn,3.5,Yes,Same-Day,Yes,Yes,11,UPI,Weekly
131,19,Female,Jacket,Footwear,229,Miami,S,Green,Autumn,3.8,No,Express,No,No,9,UPI,Daily
132,63,Other,Watch,Fashion,331,Houston,S,Black,Summer,1.8,No,Express,No,Yes,14,PayPal,Daily
133,47,Male,Sunglasses,Electronics,335,New York,XXL,Red,Autumn,4.2,Yes,Same-Day,No,No,6,UPI,Monthly
134,21,Female,Watch,Footwear,480,Phoenix,S,Yellow,Autumn,3.1,No,Same-Day,Yes,No,13,PayPal,Weekly
135,62,Female,Jeans,Footwear,331,Houston,M,Red,Winter,3.2,Yes,Express,Yes,Yes,13,PayPal,Weekly
136,62,Female,Watch,Footwear,34,New York,M,Blue,Summer,4.3,Yes,Same-Day,No,Yes,12,PayPal,Weekly
137,57,Other,Sunglasses,Accessories,287,New York,L,Green,Summer,2.9,Yes,Same-Day,Yes,Yes,9,Cash,Daily
138,60,Male,Jacket,Electronics,190,Houston,XL,Blue,Spring,1.0,No,Express,Yes,Yes,11,Debit Card,Daily
139,43,Female,Backpack,Footwear,165,Phoenix,L,Black,Autumn,3.2,No,Standard,Yes,Yes,18,Debit Card,Monthly
140,49,Male,Shoes,Footwear,23,Chicago,XL,Red,Spring,4.8,No,Same-Day,No,No,5,UPI,Weekly
141,56,Other,Jeans,Footwear,29,Houston,S,White,Summer,4.2,Yes,Standard,No,No,0,Cash,Monthly
142,21,Other,T-Shirt,Electronics,137,Chicago,L,Yellow,Spring,1.9,No,Same-Day,No,No,4,Debit Card,Daily
143,60,Male,T-Shirt,Accessories,161,New York,S,White,Winter,2.9,Yes,Same-Day,No,Yes,19,Credit Card,Daily
144,39,Male,Watch,Fashion,139,Seattle,XL,White,Summer,2.2,No,Standard,Yes,No,4,Debit Card,Daily
145,66,Other,Sunglasses,Fashion,487,New York,M,Blue,Summer,4.0,Yes,Standard,Yes,No,6,UPI,Weekly
146,27,Male,Jacket,Fashion,434,Los Angeles,S,Yellow,Winter,2.6,No,Standard,No,Yes,11,Credit Card,Daily
147,58,Female,Shoes,Footwear,387,Seattle,L,Green,Spring,4.1,Yes,Same-Day,No,Yes,18,UPI,Monthly
148,20,Female,Jeans,Electronics,311,Miami,XL,Red,Spring,4.8,Yes,Standard,Yes,No,9,Cash,Monthly
149,52,Male,Watch,Electronics,331,New York,XXL,Red,Spring,4.0,Yes,Same-Day,Yes,Yes,7,PayPal,Weekly
150,18,Female,T-Shirt,Fashion,23,Houston,L,White,Spring,4.6,Yes,Express,Yes,Yes,9,Credit Card,Daily
151,54,Male,Backpack,Footwear,111,Houston,XXL,Green,Winter,3.2,Yes,Standard,Yes,Yes,11,Cash,Daily
152,22,Female,Backpack,Fashion,259,Phoenix,XL,Red,Summer,4.4,Yes,Standard,No,Yes,17,UPI,Daily
153,28,Male,T-Shirt,Accessories,499,Seattle,M,Red,Summer,4.3,Yes,Express,No,No,1,Cash,Daily
154,56,Other,Backpack,Fashion,10,Seattle,L,Blue,Summer,2.1,No,Same-Day,Yes,Yes,14,Debit Card,Weekly
155,44,Female,Jeans,Electronics,292,Chicago,L,Blue,Spring,4.6,No,Same-Day,No,No,1,Cash,Monthly
156,34,Female,Shoes,Footwear,45,Los Angeles,L,Black,Winter,4.6,No,Standard,No,No,16,Cash,Monthly
157,33,Male,Jacket,Accessories,251,Houston,M,White,Winter,1.2,No,Same-Day,Yes,No,8,Credit Card,Daily
158,62,Other,Shoes,Accessories,282,Seattle,XL,White,Winter,1.1,Yes,Same-Day,Yes,No,15,Credit Card,Weekly
159,23,Other,Watch,Accessories,86,Chicago,M,Yellow,Autumn,4.5,Yes,Express,Yes,No,4,Debit Card,Weekly
160,60,Other,Sunglasses,Fashion,465,New York,L,Green,Winter,1.9,Yes,Standard,No,No,3,Debit Card,Weekly
161,35,Male,T-Shirt,Accessories,12,Miami,S,Black,Spring,2.6,No,Express,No,No,10,PayPal,Monthly
162,19,Other,Jacket,Footwear,392,Houston,XL,White,Winter,2.4,Yes,Standard,Yes,Yes,8,Credit Card,Daily
163,53,Female,T-Shirt,Fashion,51,Houston,XL,White,Winter,3.2,Yes,Express,Yes,No,13,PayPal,Daily
164,69,Male,Shoes,Fashion,312,Chicago,XL,Black,Spring,4.7,No,Same-Day,No,Yes,8,Cash,Daily
165,64,Other,Sunglasses,Footwear,277,Phoenix,XXL,Red,Winter,4.1,No,Standard,No,No,3,PayPal,Daily
166,31,Female,Watch,Footwear,141,Phoenix,XL,Red,Autumn,3.4,No,Same-Day,Yes,Yes,8,Debit Card,Daily
167,39,Other,Sunglasses,Accessories,100,Seattle,XL,Blue,Winter,1.2,No,Same-Day,Yes,Yes,0,Cash,Daily
168,37,Other,Shoes,Accessories,257,Seattle,M,Red,Winter,4.3,No,Express,No,Yes,4,PayPal,Weekly
169,32,Male,Watch,Electronics,427,Phoenix,XXL,Red,Summer,3.1,No,Express,No,Yes,15,UPI,Daily
170,41,Male,Shoes,Footwear,242,Los Angeles,XXL,Black,Autumn,1.7,No,Same-Day,Yes,No,5,Debit Card,Weekly
171,47,Female,Jeans,Electronics,199,Houston,M,Blue,Summer,4.8,Yes,Same-Day,Yes,No,9,Credit Card,Daily
172,18,Female,Sunglasses,Footwear,172,Miami,XXL,White,Autumn,2.7,Yes,Standard,No,Yes,0,Debit Card,Weekly
173,27,Female,Jacket,Electronics,263,Seattle,L,Green,Spring,3.7,No,Same-Day,Yes,Yes,0,Credit Card,Daily
174,41,Male,Shoes,Accessories,479,New York,M,Green,Summer,1.8,Yes,Standard,No,Yes,10,Cash,Daily
175,44,Female,Jacket,Accessories,356,Los Angeles,S,Black,Winter,4.6,No,Standard,Yes,Yes,19,PayPal,Weekly
176,51,Male,Sunglasses,Fashion,12,Los Angeles,XL,Yellow,Summer,2.4,No,Standard,No,Yes,17,PayPal,Weekly
177,16,Male,Watch,Fashion,393,Chicago,L,Yellow,Summer,1.4,Yes,Same-Day,No,No,2,Credit Card,Daily
178,69,Male,T-Shirt,Electronics,140,Seattle,M,Red,Summer,3.7,No,Express,Yes,No,19,Debit Card,Monthly
179,69,Female,T-Shirt,Accessories,149,Los Angeles,XXL,Black,Autumn,1.2,Yes,Same-Day,No,Yes,0,UPI,Daily
180,19,Other,T-Shirt,Footwear,334,Houston,M,Black,Summer,3.1,No,Express,Yes,No,19,Credit Card,Monthly
181,29,Male,Jacket,Accessories,266,Miami,XL,Blue,Autumn,2.0,Yes,Express,No,Yes,15,UPI,Monthly
182,49,Male,Jacket,Electronics,466,Phoenix,S,Blue,Summer,1.4,No,Express,No,No,5,UPI,Weekly
183,47,Male,Shoes,Electronics,163,Miami,XXL,White,Summer,4.9,Yes,Same-Day,Yes,No,11,Cash,Weekly
184,40,Female,Jacket,Electronics,23,Phoenix,M,Yellow,Autumn,1.4,Yes,Standard,Yes,Yes,9,Credit Card,Daily
185,68,Female,Watch,Electronics,66,Chicago,M,Green,Autumn,4.4,No,Same-Day,No,Yes,10,UPI,Weekly
186,29,Male,Jacket,Footwear,254,Chicago,M,Green,Autumn,1.9,Yes,Express,Yes,No,0,PayPal,Daily
187,60,Female,T-Shirt,Fashion,380,Los Angeles,M,Black,Spring,1.1,Yes,Standard,Yes,Yes,3,UPI,Weekly
188,47,Female,Sunglasses,Fashion,244,Seattle,XXL,Green,Autumn,2.7,Yes,Express,Yes,No,4,UPI,Weekly
189,47,Male,Backpack,Footwear,193,Los Angeles,L,Black,Summer,1.5,Yes,Same-Day,No,Yes,1,Cash,Daily
190,25,Male,Backpack,Fashion,19,Phoenix,XL,White,Summer,1.2,No,Same-Day,No,Yes,2,Cash,Daily
191,61,Male,Shoes,Electronics,426,Seattle,L,Blue,Summer,2.7,Yes,Standard,Yes,Yes,7,UPI,Daily
192,68,Other,Jacket,Fashion,480,Miami,XXL,White,Spring,3.0,No,Same-Day,Yes,No,3,PayPal,Daily
193,39,Male,Sunglasses,Footwear,26,Miami,M,Yellow,Autumn,2.7,Yes,Same-Day,Yes,No,0,PayPal,Weekly
194,48,Male,T-Shirt,Electronics,447,Seattle,L,Green,Winter,1.1,Yes,Express,No,No,15,PayPal,Monthly
195,19,Female,Sunglasses,Footwear,200,Phoenix,S,White,Summer,3.7,Yes,Standard,No,Yes,13,Credit Card,Weekly
196,37,Other,Jacket,Footwear,402,Houston,XL,Green,Summer,1.7,No,Express,Yes,Yes,12,PayPal,Daily
197,23,Male,Backpack,Fashion,309,Seattle,M,White,Autumn,2.1,Yes,Express,No,Yes,1,Credit Card,Daily
198,57,Other,Jacket,Electronics,271,Seattle,M,Red,Autumn,4.6,Yes,Same-Day,Yes,No,15,Cash,Monthly
199,21,Male,Jeans,Fashion,446,Miami,XL,Blue,Autumn,4.9,No,Same-Day,No,Yes,15,UPI,Weekly
200,56,Other,Sunglasses,Fashion,241,Seattle,S,Green,Summer,5.0,No,Same-Day,Yes,Yes,3,Debit Card,Monthly
201,38,Other,T-Shirt,Accessories,168,Phoenix,M,Blue,Autumn,4.7,No,Same-Day,No,No,5,Debit Card,Weekly
202,66,Male,Watch,Accessories,24,Seattle,S,Blue,Winter,3.1,No,Express,No,Yes,6,Debit Card,Weekly
203,51,Other,Jeans,Accessories,167,Los Angeles,S,Red,Spring,2.5,Yes,Same-Day,No,Yes,18,UPI,Daily
204,22,Male,Watch,Footwear,98,Phoenix,L,Red,Summer,2.8,Yes,Same-Day,No,No,10,Cash,Monthly
205,40,Male,Watch,Electronics,405,Houston,XL,Red,Autumn,1.3,No,Same-Day,No,Yes,6,Cash,Monthly
206,35,Other,Shoes,Electronics,102,Houston,L,Green,Spring,1.7,No,Same-Day,No,No,7,Credit Card,Daily
207,18,Other,Jeans,Footwear,266,Seattle,M,Blue,Winter,1.9,Yes,Same-Day,No,Yes,8,Debit Card,Monthly
208,48,Male,Watch,Electronics,324,Seattle,S,Blue,Winter,5.0,Yes,Standard,Yes,Yes,16,Credit Card,Weekly
209,58,Female,Jeans,Accessories,489,Phoenix,S,Yellow,Winter,2.5,Yes,Express,No,Yes,0,Cash,Weekly
210,46,Male,Shoes,Footwear,391,New York,XL,White,Autumn,1.8,No,Standard,No,No,12,UPI,Daily
211,61,Other,Sunglasses,Accessories,377,Seattle,L,Yellow,Winter,1.2,Yes,Same-Day,Yes,No,7,Debit Card,Daily
212,38,Female,Jacket,Electronics,445,Chicago,L,Yellow,Winter,4.5,Yes,Standard,No,No,12,PayPal,Monthly
213,40,Male,Watch,Fashion,421,New York,M,Black,Autumn,1.3,Yes,Express,No,No,8,Cash,Daily
214,22,Other,Watch,Accessories,471,Miami,XL,White,Winter,1.6,No,Same-Day,No,No,18,Debit Card,Daily
215,44,Male,Jeans,Electronics,280,Miami,XXL,Red,Autumn,2.6,No,Standard,Yes,No,13,UPI,Monthly
216,26,Other,Watch,Footwear,201,Miami,S,Black,Autumn,2.4,Yes,Standard,Yes,Yes,11,UPI,Monthly
217,43,Female,Watch,Electronics,326,Miami,M,Blue,Summer,5.0,Yes,Same-Day,No,Yes,18,PayPal,Weekly
